sourceId,title,studio,rightsStatus,allowedUses,exactTextMayBeStored,exactTextMayEnterModelContext,exactTextMayEnterModelWeights,sourceLocation,annotated
dreamworks_animation_touring_education_resource,DREAMWORKS ANIMATION-Touring-Education-Resource,DreamWorks,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/DreamWorks/DREAMWORKS ANIMATION-Touring-Education-Resource.pdf,no_OCR_needed
darkymind_html,dARKYMIND.html,DreamWorks,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/DreamWorks/dARKYMIND.html.pdf,yes
0meet_the_robinsons_full_screenplay,0Meet_the_Robinsons_FULL_SCREENPLAY,Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/0Meet_the_Robinsons_FULL_SCREENPLAY.pdf,yes
9_matched,9_Matched,Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/9_Matched.pdf,yes
a_scanner_darkly_matched,A_Scanner_Darkly_Matched,Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/A_Scanner_Darkly_Matched.pdf,yes
aladdin_matched,Aladdin_Matched,Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Aladdin_Matched.pdf,no_OCR_needed
anastasia_matched,Anastasia_Matched,Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Anastasia_Matched.pdf,yes
antz_matched,Antz_Matched,Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Antz_Matched.pdf,yes
beavis_and_butt_head_do_america_matched,Beavis_and_Butt-head_Do_America_Matched,Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Beavis_and_Butt-head_Do_America_Matched.pdf,yes
big_hero_6_2014,Big-Hero-6-2014,Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Big-Hero-6-2014.pdf,no_OCR_needed
boxtrolls_the_matched,Boxtrolls_The_Matched,Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Boxtrolls_The_Matched.pdf,yes
cars_2_matched,Cars_2_Matched,Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Cars_2_Matched.pdf,yes
coco_2017,Coco (2017),Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Coco (2017).pdf,yes
coco_matched,Coco_Matched,Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Coco_Matched.pdf,yes
coraline_matched,Coraline_Matched,Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Coraline_Matched.pdf,yes
elemental_2023,Elemental (2023),Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Elemental (2023).pdf,yes
encanto_2021,Encanto (2021),Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Encanto (2021).pdf,yes
how_to_train_your_dragon_the_hidden_world_2019,How to Train Your Dragon The Hidden World (2019),Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/How to Train Your Dragon The Hidden World (2019).pdf,yes
inside_out_2015,Inside Out (2015),Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Inside Out (2015).pdf,yes
isle_of_dogs_2018,Isle of Dogs (2018),Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Isle of Dogs (2018).pdf,yes
kubo_and_the_two_strings_2016,Kubo and the Two Strings (2016),Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Kubo and the Two Strings (2016).pdf,yes
luca_2021,Luca (2021),Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Luca (2021).pdf,yes
moana,Moana,Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Moana.pdf,no_OCR_needed
over_the_moon_2020,Over the Moon (2020),Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Over the Moon (2020).pdf,yes
raya_and_the_last_dragon_2021,Raya and the Last Dragon (2021),Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Raya and the Last Dragon (2021).pdf,yes
sausage_party_2016,Sausage Party (2016),Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Sausage Party (2016).pdf,yes
sing_2016,Sing (2016),Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Sing (2016).pdf,yes
soul_2020,Soul (2020),Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Soul (2020).pdf,yes
spider_man_across_the_spider_verse_2023,Spider-Man Across the Spider-Verse (2023),Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Spider-Man Across the Spider-Verse (2023).pdf,yes
spider_man_into_the_spider_verse_2018,Spider-Man Into the Spider-Verse (2018),Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Spider-Man Into the Spider-Verse (2018).pdf,yes
spiyder_race_2011_html,SpiyDER RACE (2011) html,Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/SpiyDER RACE (2011) html.pdf,yes
teenage_mutant_ninja_turtles_mutant_mayhem_2023,Teenage Mutant Ninja Turtles Mutant Mayhem (2023),Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/Teenage Mutant Ninja Turtles Mutant Mayhem (2023).pdf,yes
the_boss_baby_family_business_2021,The Boss Baby Family Business (2021),Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/The Boss Baby Family Business (2021).pdf,yes
the_good_dinosaur_2015,The Good Dinosaur (2015),Other-Studios,reference_only,human_analysis|automatic_annotation|retrieval|evaluation,false,false,false,2-Screenplays/Other-Studios/The Good Dinosaur (2015).pdf,yes
