genre,file,sceneCount,wordCount,dialogueLines
Action,13-days.fountain,281,33742,864
Action,15-minutes.fountain,85,25209,1013
Action,3-kings.fountain,140,25904,1115
Action,3-kings-spoils-of-war.fountain,37,25460,864
Action,the-5th-element.fountain,98,24322,858
Action,ace-ventura-pet-detective.fountain,132,17984,521
Action,airforce-one.fountain,341,26252,873
Action,american-outlaws.fountain,147,21107,971
Action,antz.fountain,85,17634,662
Action,assassins.fountain,181,22918,819
Action,austin-powers-2-the-spy-who-shagged-me.fountain,111,17235,782
Action,austin-powers-international-man-of-mystery.fountain,139,19060,820
Action,the-avengers.fountain,33,24170,751
Action,batman-2-unproduced.fountain,287,38094,633
Action,the-believer.fountain,165,22020,891
Action,the-bijou.fountain,161,27847,932
Action,the-black-dahlia.fountain,293,36011,1036
Action,blade.fountain,110,24677,578
Action,blade-ii.fountain,139,24705,497
Action,the-boondock-saints.fountain,146,26072,796
Action,bottle-rocket.fountain,103,19812,1185
Action,the-bourne-identity.fountain,187,22753,580
Action,bringing-out-the-dead.fountain,78,18129,781
Action,casino.fountain,606,51649,2388
Action,the-cider-house-rules.fountain,197,26146,1035
Action,clerks.fountain,9,23363,1515
Action,cliffhanger.fountain,100,32407,612
Action,collateral.fountain,121,25586,841
Action,committed-filmed-as-crazy-love.fountain,121,20821,976
Action,copycat.fountain,152,30101,889
Action,the-crow.fountain,123,21915,548
Action,demolition-man.fountain,245,22473,784
Action,elf.fountain,132,18878,928
Action,enemy-of-the-state.fountain,199,22004,1157
Action,the-english-patient.fountain,236,30945,770
Action,the-assignment.fountain,201,33055,733
Action,autumn-in-new-york.fountain,151,23928,927
Action,bad-lieutenant.fountain,5,15046,315
Action,the-battle-of-shaker-heights.fountain,99,18082,931
Action,below.fountain,303,19634,656
Action,the-big-lebowski.fountain,11,21496,1096
Action,birthday-girl.fountain,178,17550,596
Action,blade-trinity.fountain,179,25092,447
Action,the-butterfly-effect.fountain,185,23748,760
Action,the-cable-guy.fountain,5,24081,842
Action,chasing-amy.fountain,42,23551,1103
Action,cold-mountain.fountain,203,29608,983
Action,the-crow-salvation.fountain,136,21238,569
Action,dark-angel-pilot.fountain,137,25521,810
Action,detroit-rock-city.fountain,115,26307,763
Action,el-mariachi.fountain,133,13015,303
Action,even-cowgirls-get-the-blues.fountain,121,18672,377
Action,the-family-man.fountain,90,27770,846
Action,fargo.fountain,148,16989,789
Action,fear-and-loathing-in-las-vegas.fountain,130,22720,631
Action,feast-revised-draft.fountain,107,17475,784
Action,final-destination.fountain,150,24733,498
Action,fight-club.fountain,269,28105,1292
Action,the-fisher-king.fountain,189,25080,773
Action,freddy-vs-jason.fountain,139,25340,741
Action,frequency.fountain,227,27741,854
Action,freaked-pdf.fountain,72,21719,53
Action,the-fugitive.fountain,364,26252,651
Action,game-6.fountain,112,15442,709
Action,the-grifters.fountain,153,22431,816
Action,halloween-6-the-curse-of-michael-myers-halloween-666-the-ori.fountain,158,22937,478
Action,hannibal.fountain,287,30628,909
Action,happy-campers.fountain,160,32922,440
Action,the-haunting.fountain,183,29719,560
Action,heist-pdf.fountain,334,26251,879
Action,hellboy.fountain,233,22656,665
Action,henry-fool.fountain,158,25374,948
Action,hero.fountain,201,29307,811
Action,highlander-4.fountain,117,18446,597
Action,the-horse-wisperer.fountain,240,38187,1085
Action,hostage.fountain,155,24963,949
Action,hudson-hawk.fountain,92,23413,656
Action,the-hebrew-hammer.fountain,74,20749,570
Action,i-am-sam.fountain,152,23284,991
Action,independence-day.fountain,327,26883,853
Action,the-insider.fountain,249,26942,890
Action,intolerable-cruelty.fountain,62,17271,979
Action,jennifer-eight.fountain,22,35630,765
Action,jerry-maguire.fountain,187,27066,976
Action,jurassic-park-3.fountain,6,19392,514
Action,kundun.fountain,213,23742,558
Action,l-a-confidential.fountain,173,25768,1061
Action,lake-placid.fountain,96,15116,834
Action,last-of-the-mohicans.fountain,123,25205,564
Action,legionnaire.fountain,199,23604,574
Action,life.fountain,131,26261,1021
Action,life-as-a-house.fountain,175,26407,1212
Action,the-limey.fountain,134,19738,787
Action,living-in-oblivion.fountain,112,17382,998
Action,lone-star.fountain,100,23468,1178
Action,lost-in-translation.fountain,121,13333,434
Action,made.fountain,102,17997,1005
Action,the-majestic.fountain,161,27808,950
Action,man-in-the-iron-mask.fountain,140,26907,825
Action,men-in-black.fountain,141,25036,776
Action,metro.fountain,228,26858,929
Action,mighty-morphin-power-rangers.fountain,29,17152,674
Action,miller-s-crossing.fountain,290,27448,822
Action,mimic.fountain,147,21006,561
Action,mission-impossible-ii.fountain,134,23288,729
Action,misery.fountain,15,21353,538
Action,mission-impossible.fountain,210,21712,654
Action,mission-to-mars.fountain,178,28631,742
Action,mystery-men.fountain,101,22963,859
Action,natural-born-killers.fountain,193,31851,763
Action,new-nightmare.fountain,99,20267,534
Action,nick-of-time.fountain,143,20014,747
Action,nixon.fountain,264,39615,1362
Action,o-brother-where-art-thou.fountain,51,19087,687
Action,the-patriot.fountain,165,29424,739
Action,pearl-harbor.fountain,314,33255,811
