genre,name,ext,encoding,size,headings,words,status
Action,"1990_Miller's Crossing.html",.html,utf-8,215398,0,28523,low-headings
Action,"1990_Miller's Crossing.txt",.txt,utf-8,285094,0,27448,low-headings
Action,"1990_Misery.html",.html,utf-8,240174,0,21353,low-headings
Action,"1990_Misery.txt",.txt,utf-8,234068,0,21353,low-headings
Action,"1990_The Grifters.html",.html,utf-8,172195,0,22431,low-headings
Action,"1990_Tremors.html",.html,utf-8,258789,0,25052,low-headings
Action,"1991_Hudson Hawk.html",.html,utf-8,193490,0,23413,low-headings
Action,"1991_The Fisher King.html",.html,utf-8,253343,0,25080,low-headings
Action,"1992_Bad Lieutenant.txt",.txt,utf-8,139351,0,15046,low-headings
Action,"1992_Batman 2 (Unproduced).html",.html,utf-8,293541,0,38094,low-headings
Action,"1992_El Mariachi.txt",.txt,utf-8,117024,0,13015,low-headings
Action,"1992_Hero.html",.html,utf-8,248854,0,29307,low-headings
Action,"1992_Jennifer Eight.html",.html,utf-8,301102,0,35630,low-headings
Action,"1992_Last Of The Mohicans.html",.html,utf-8,261529,0,25205,low-headings
Action,"1992_Light Sleeper.txt",.txt,utf-8,169192,0,13672,low-headings
Action,"1992_Reservoir Dogs.txt",.txt,utf-8,183124,0,17758,low-headings
Action,"1992_Unforgiven.html",.html,utf-8,238915,0,27131,low-headings
Action,"1993_Cliffhanger.html",.html,utf-8,269428,0,32407,low-headings
Action,"1993_Demolition Man.html",.html,utf-8,214725,0,22473,low-headings
Action,"1993_Even Cowgirls Get The Blues.txt",.txt,utf-8,181082,0,18672,low-headings
Action,"1993_Freaked.pdf",.pdf,binary,177775,-1,-1,PDF-skip
Action,"1993_Philadelphia.html",.html,utf-8,224187,0,22740,low-headings
Action,"1993_Schindler's List.html",.html,utf-8,286713,0,29915,low-headings
Action,"1993_The Fugitive.html",.html,utf-8,168999,0,26252,low-headings
Action,"1993_The Piano.html",.html,utf-8,154271,0,21448,low-headings
Action,"1993_Tombstone.html",.html,utf-8,232259,0,30528,low-headings
