fingerprint,kept,removed
0d035c8d0310e65e,Antz.fountain.txt,crawl/action/antz.fountain
0d035c8d0310e65e,Antz.fountain.txt,crawl/romance/antz.fountain
0d035c8d0310e65e,Antz.fountain.txt,crawl/war/antz.fountain
b83f1ce8770c7ea4,13-days.fountain,crawl/war/13-days.fountain
f66891f958286de8,15-minutes.fountain,crawl/comedy/15-minutes.fountain
f66891f958286de8,15-minutes.fountain,crawl/crime/15-minutes.fountain
de01fa9ca6980acc,3-kings-spoils-of-war.fountain,crawl/war/3-kings-spoils-of-war.fountain
c3bc5418232747b1,3-kings.fountain,crawl/war/3-kings.fountain
6bd7d205191d4e12,ace-ventura-pet-detective.fountain,crawl/crime/ace-ventura-pet-detective.fountain
6bd7d205191d4e12,ace-ventura-pet-detective.fountain,crawl/mystery/ace-ventura-pet-detective.fountain
d5d6bb298ccc6a67,airforce-one.fountain,crawl/fantasy/airforce-one.fountain
d5d6bb298ccc6a67,airforce-one.fountain,crawl/sci-fi/airforce-one.fountain
f8e03e8a7ca49b27,american-outlaws.fountain,crawl/war/american-outlaws.fountain
f8e03e8a7ca49b27,american-outlaws.fountain,crawl/western/american-outlaws.fountain
4cb1623092c58ff3,assassins.fountain,crawl/crime/assassins.fountain
f4bdbc5b88b523da,austin-powers-2-the-spy-who-shagged-me.fountain,crawl/horror/austin-powers-2-the-spy-who-shagged-me.fountain
f4bdbc5b88b523da,austin-powers-2-the-spy-who-shagged-me.fountain,crawl/sci-fi/austin-powers-2-the-spy-who-shagged-me.fountain
f4bdbc5b88b523da,austin-powers-2-the-spy-who-shagged-me.fountain,crawl/thriller/austin-powers-2-the-spy-who-shagged-me.fountain
1bc387cfe0201c1d,austin-powers-international-man-of-mystery.fountain,crawl/crime/austin-powers-international-man-of-mystery.fountain
1bc387cfe0201c1d,austin-powers-international-man-of-mystery.fountain,crawl/mystery/austin-powers-international-man-of-mystery.fountain
c6736ed1f48e1383,avatar-html.fountain,crawl/horror/avatar-html.fountain
