file,protagonist,legacyReversals,detectedReversals,reversalDisagree,d1Disagree,d2Disagree,qlDeduction
crawl/action/the-avengers.fountain,EMMA,0,0,false,false,false,1.2745098039215685
crawl/sci-fi/the-replacements-pdf.fountain,SHANE,0,0,false,false,false,0
crawl/sci-fi/land-of-mine-pdf.fountain,CARL,0,0,false,false,false,0
crawl/comedy/the-shawshank-redemption.fountain,RED,0,0,false,false,false,0
crawl/horror/simone.fountain,VIKTOR,0,0,false,false,false,0
crawl/drama/kate-and-leopold.fountain,KATE,0,0,false,false,false,0
Despicable_Me.fountain.txt,GRU,0,0,false,false,false,0
teenage-mutant-ninja-turtles-mutant-mayhem-2023.fountain,LEONARDO,0,0,false,false,false,0
crawl/crime/the-sweet-hereafter.fountain,MITCHELL,0,0,false,false,false,0
crawl/adventure/ocean-s-eleven-pdf.fountain,DANNY,0,0,false,false,false,0
crawl/action/unbreakable.fountain,DAVID,0,0,false,false,false,0
crawl/action/below.fountain,ODELL,0,0,false,false,false,0
crawl/action/jerry-maguire.fountain,JERRY,0,0,false,false,false,0
crawl/horror/spartan-html.fountain,SCOTT,0,0,false,false,false,0.22727272727272707
crawl/crime/hotel-rwanda.fountain,PAUL,0,0,false,false,false,0
crawl/crime/from-dusk-till-dawn.fountain,SETH,0,0,false,false,false,0
crawl/comedy/boy-who-never-slept.fountain,DANIEL,0,0,false,false,false,0
crawl/crime/mimic-html.fountain,SUSAN,0,0,false,false,false,0
crawl/fantasy/the-game.fountain,NICHOLAS,0,1,true,false,false,0
crawl/sci-fi/sweet-november-pdf.fountain,NELSON,0,0,false,false,false,0
Coraline.fountain.txt,CORALINE,0,0,false,false,false,0
crawl/sci-fi/death-to-smoochy-pdf.fountain,SHELDON,0,0,false,false,false,0
crawl/sci-fi/bonfire-of-the-vanities-pdf.fountain,SHERMAN,0,0,false,false,false,0
crawl/adventure/almost-famous.fountain,WILLIAM,0,0,false,false,false,0
crawl/action/storytelling.fountain,TOBY,0,0,false,false,false,2.727272727272727
crawl/action/fight-club.fountain,JACK,0,0,false,false,false,0
crawl/action/blade-ii.fountain,BLADE,0,0,false,false,false,0
crawl/sci-fi/this-boy-s-life-pdf.fountain,TOBY,0,0,false,false,false,0
crawl/action/star-trek-07-generations.fountain,PICARD,0,0,false,false,false,0
