file,degradation,realHealth,degradedHealth,delta
the-incredibles-2004.fountain,SCENE_SHUFFLE,92,91,-1
the-incredibles-2004.fountain,MIDPOINT_DROP,92,90.3,-1.7
the-incredibles-2004.fountain,CLIMAX_RELOCATE,92,92.4,0.4
the-incredibles-2004.fountain,DIALOGUE_FLATTEN,92,88.2,-3.8
Bee_Movie.fountain.txt,SCENE_SHUFFLE,89.2,90.5,1.3
Bee_Movie.fountain.txt,MIDPOINT_DROP,89.2,88.9,-0.3
Bee_Movie.fountain.txt,CLIMAX_RELOCATE,89.2,89.2,0
Bee_Movie.fountain.txt,DIALOGUE_FLATTEN,89.2,89,-0.2
coraline-matched.fountain,SCENE_SHUFFLE,88.1,90.5,2.4
coraline-matched.fountain,MIDPOINT_DROP,88.1,87.2,-0.9
coraline-matched.fountain,CLIMAX_RELOCATE,88.1,87.9,-0.2
coraline-matched.fountain,DIALOGUE_FLATTEN,88.1,87.8,-0.3
Anastasia.fountain.txt,SCENE_SHUFFLE,95.3,79.6,-15.7
Anastasia.fountain.txt,MIDPOINT_DROP,95.3,95.6,0.3
Anastasia.fountain.txt,CLIMAX_RELOCATE,95.3,94.3,-1
Anastasia.fountain.txt,DIALOGUE_FLATTEN,95.3,88,-7.3
inside-out-screenplay.fountain,SCENE_SHUFFLE,87.6,86.7,-0.9
inside-out-screenplay.fountain,MIDPOINT_DROP,87.6,88.4,0.8
inside-out-screenplay.fountain,CLIMAX_RELOCATE,87.6,88.8,1.2
inside-out-screenplay.fountain,DIALOGUE_FLATTEN,87.6,40.4,-47.2
darkymind-html.fountain,SCENE_SHUFFLE,96.9,78.7,-18.2
darkymind-html.fountain,MIDPOINT_DROP,96.9,97.8,0.9
darkymind-html.fountain,CLIMAX_RELOCATE,96.9,96.4,-0.5
darkymind-html.fountain,DIALOGUE_FLATTEN,96.9,81.5,-15.4
the-adventures-of-tintin-2011.fountain,SCENE_SHUFFLE,87.1,69.6,-17.5
the-adventures-of-tintin-2011.fountain,MIDPOINT_DROP,87.1,92.9,5.8
the-adventures-of-tintin-2011.fountain,CLIMAX_RELOCATE,87.1,87.1,0
the-adventures-of-tintin-2011.fountain,DIALOGUE_FLATTEN,87.1,87.1,0
over-the-moon-2020.fountain,SCENE_SHUFFLE,88.9,88.9,0
over-the-moon-2020.fountain,MIDPOINT_DROP,88.9,88.7,-0.2
over-the-moon-2020.fountain,CLIMAX_RELOCATE,88.9,88.9,0
over-the-moon-2020.fountain,DIALOGUE_FLATTEN,88.9,87,-1.9
Monsters_University.fountain.txt,SCENE_SHUFFLE,91.4,97,5.6
Monsters_University.fountain.txt,MIDPOINT_DROP,91.4,90.4,-1
Monsters_University.fountain.txt,CLIMAX_RELOCATE,91.4,90.7,-0.7
