file,degradation,realHealth,degradedHealth,delta
0meet-the-robinsons-full-screenplay.fountain,SCENE_SHUFFLE,97.5,89.7,-7.8
0meet-the-robinsons-full-screenplay.fountain,MIDPOINT_DROP,97.5,96.9,-0.6
0meet-the-robinsons-full-screenplay.fountain,CLIMAX_RELOCATE,97.5,97.5,0
0meet-the-robinsons-full-screenplay.fountain,DIALOGUE_FLATTEN,97.5,88.4,-9.1
2020-07-17-soul-final-script.fountain,SCENE_SHUFFLE,97.7,95.8,-1.9
2020-07-17-soul-final-script.fountain,MIDPOINT_DROP,97.7,98.1,0.4
2020-07-17-soul-final-script.fountain,CLIMAX_RELOCATE,97.7,97.7,0
2020-07-17-soul-final-script.fountain,DIALOGUE_FLATTEN,97.7,88.5,-9.2
9-matched.fountain,SCENE_SHUFFLE,91.7,89.9,-1.8
9-matched.fountain,MIDPOINT_DROP,91.7,88.9,-2.8
9-matched.fountain,CLIMAX_RELOCATE,91.7,94.1,2.4
9-matched.fountain,DIALOGUE_FLATTEN,91.7,89.2,-2.5
a-scanner-darkly-matched.fountain,SCENE_SHUFFLE,84.6,78.2,-6.4
a-scanner-darkly-matched.fountain,MIDPOINT_DROP,84.6,84.4,-0.2
a-scanner-darkly-matched.fountain,CLIMAX_RELOCATE,84.6,83.8,-0.8
a-scanner-darkly-matched.fountain,DIALOGUE_FLATTEN,84.6,85.3,0.7
anastasia-matched.fountain,SCENE_SHUFFLE,87.6,81,-6.6
anastasia-matched.fountain,MIDPOINT_DROP,87.6,87.1,-0.5
anastasia-matched.fountain,CLIMAX_RELOCATE,87.6,88.5,0.9
anastasia-matched.fountain,DIALOGUE_FLATTEN,87.6,88.2,0.6
antz-matched.fountain,SCENE_SHUFFLE,94.1,85.3,-8.8
antz-matched.fountain,MIDPOINT_DROP,94.1,89.4,-4.7
antz-matched.fountain,CLIMAX_RELOCATE,94.1,94.4,0.3
antz-matched.fountain,DIALOGUE_FLATTEN,94.1,79.9,-14.2
beavis-and-butt-head-do-america-matched.fountain,SCENE_SHUFFLE,89.3,81.3,-8
beavis-and-butt-head-do-america-matched.fountain,MIDPOINT_DROP,89.3,89.1,-0.2
beavis-and-butt-head-do-america-matched.fountain,CLIMAX_RELOCATE,89.3,89.3,0
beavis-and-butt-head-do-america-matched.fountain,DIALOGUE_FLATTEN,89.3,89.3,0
boxtrolls-the-matched.fountain,SCENE_SHUFFLE,97.8,96.1,-1.7
boxtrolls-the-matched.fountain,MIDPOINT_DROP,97.8,97.1,-0.7
boxtrolls-the-matched.fountain,CLIMAX_RELOCATE,97.8,97.7,-0.1
boxtrolls-the-matched.fountain,DIALOGUE_FLATTEN,97.8,93.7,-4.1
brave-2012.fountain,SCENE_SHUFFLE,87.3,87.2,-0.1
brave-2012.fountain,MIDPOINT_DROP,87.3,84.4,-2.9
brave-2012.fountain,CLIMAX_RELOCATE,87.3,87.2,-0.1
brave-2012.fountain,DIALOGUE_FLATTEN,87.3,87.3,0
cars-2-matched.fountain,SCENE_SHUFFLE,89.2,81,-8.2
cars-2-matched.fountain,MIDPOINT_DROP,89.2,89,-0.2
cars-2-matched.fountain,CLIMAX_RELOCATE,89.2,89.2,0
cars-2-matched.fountain,DIALOGUE_FLATTEN,89.2,88.8,-0.4
coco-2017.fountain,SCENE_SHUFFLE,91.8,97.7,5.9
coco-2017.fountain,MIDPOINT_DROP,91.8,92.2,0.4
coco-2017.fountain,CLIMAX_RELOCATE,91.8,96.2,4.4
coco-2017.fountain,DIALOGUE_FLATTEN,91.8,88.8,-3
coco-matched.fountain,SCENE_SHUFFLE,95.1,94,-1.1
coco-matched.fountain,MIDPOINT_DROP,95.1,93.8,-1.3
coco-matched.fountain,CLIMAX_RELOCATE,95.1,96,0.9
coco-matched.fountain,DIALOGUE_FLATTEN,95.1,85.2,-9.9
coco-script.fountain,SCENE_SHUFFLE,91.8,97.7,5.9
coco-script.fountain,MIDPOINT_DROP,91.8,92.2,0.4
coco-script.fountain,CLIMAX_RELOCATE,91.8,96.2,4.4
coco-script.fountain,DIALOGUE_FLATTEN,91.8,88.8,-3
coraline-matched.fountain,SCENE_SHUFFLE,88.1,90.5,2.4
coraline-matched.fountain,MIDPOINT_DROP,88.1,87.2,-0.9
coraline-matched.fountain,CLIMAX_RELOCATE,88.1,87.9,-0.2
coraline-matched.fountain,DIALOGUE_FLATTEN,88.1,87.8,-0.3
corpse-bride-2005.fountain,SCENE_SHUFFLE,96,92.8,-3.2
corpse-bride-2005.fountain,MIDPOINT_DROP,96,95.9,-0.1
corpse-bride-2005.fountain,CLIMAX_RELOCATE,96,95.9,-0.1
corpse-bride-2005.fountain,DIALOGUE_FLATTEN,96,87.9,-8.1
darkymind-html.fountain,SCENE_SHUFFLE,96.9,78.7,-18.2
darkymind-html.fountain,MIDPOINT_DROP,96.9,97.8,0.9
darkymind-html.fountain,CLIMAX_RELOCATE,96.9,96.4,-0.5
darkymind-html.fountain,DIALOGUE_FLATTEN,96.9,81.5,-15.4
elemental-2023.fountain,SCENE_SHUFFLE,98.7,97.3,-1.4
elemental-2023.fountain,MIDPOINT_DROP,98.7,98.7,0
elemental-2023.fountain,CLIMAX_RELOCATE,98.7,98.6,-0.1
elemental-2023.fountain,DIALOGUE_FLATTEN,98.7,89,-9.7
encanto-2021.fountain,SCENE_SHUFFLE,88.4,89.9,1.5
encanto-2021.fountain,MIDPOINT_DROP,88.4,81.9,-6.5
encanto-2021.fountain,CLIMAX_RELOCATE,88.4,88.4,0
encanto-2021.fountain,DIALOGUE_FLATTEN,88.4,82.1,-6.3
how-to-train-your-dragon-the-hidden-world-2019.fountain,SCENE_SHUFFLE,98.5,96.8,-1.7
how-to-train-your-dragon-the-hidden-world-2019.fountain,MIDPOINT_DROP,98.5,98.1,-0.4
how-to-train-your-dragon-the-hidden-world-2019.fountain,CLIMAX_RELOCATE,98.5,98.5,0
how-to-train-your-dragon-the-hidden-world-2019.fountain,DIALOGUE_FLATTEN,98.5,88.5,-10
inside-out-2015.fountain,SCENE_SHUFFLE,87.6,86.7,-0.9
inside-out-2015.fountain,MIDPOINT_DROP,87.6,88.4,0.8
inside-out-2015.fountain,CLIMAX_RELOCATE,87.6,88.8,1.2
inside-out-2015.fountain,DIALOGUE_FLATTEN,87.6,40.4,-47.2
inside-out-screenplay.fountain,SCENE_SHUFFLE,87.6,86.7,-0.9
inside-out-screenplay.fountain,MIDPOINT_DROP,87.6,88.4,0.8
inside-out-screenplay.fountain,CLIMAX_RELOCATE,87.6,88.8,1.2
inside-out-screenplay.fountain,DIALOGUE_FLATTEN,87.6,40.4,-47.2
isle-of-dogs-2018.fountain,SCENE_SHUFFLE,94.2,73.9,-20.3
isle-of-dogs-2018.fountain,MIDPOINT_DROP,94.2,93.3,-0.9
isle-of-dogs-2018.fountain,CLIMAX_RELOCATE,94.2,93.7,-0.5
isle-of-dogs-2018.fountain,DIALOGUE_FLATTEN,94.2,91.1,-3.1
kubo-and-the-two-strings-2016.fountain,SCENE_SHUFFLE,97.5,97.5,0
kubo-and-the-two-strings-2016.fountain,MIDPOINT_DROP,97.5,96.8,-0.7
kubo-and-the-two-strings-2016.fountain,CLIMAX_RELOCATE,97.5,97.5,0
kubo-and-the-two-strings-2016.fountain,DIALOGUE_FLATTEN,97.5,87.5,-10
luca-2021.fountain,SCENE_SHUFFLE,92.6,92.8,0.2
luca-2021.fountain,MIDPOINT_DROP,92.6,88.7,-3.9
luca-2021.fountain,CLIMAX_RELOCATE,92.6,91.5,-1.1
luca-2021.fountain,DIALOGUE_FLATTEN,92.6,88.8,-3.8
mulan-1998.fountain,SCENE_SHUFFLE,88.4,84.7,-3.7
mulan-1998.fountain,MIDPOINT_DROP,88.4,88,-0.4
mulan-1998.fountain,CLIMAX_RELOCATE,88.4,88.4,0
mulan-1998.fountain,DIALOGUE_FLATTEN,88.4,88.4,0
over-the-moon-2020.fountain,SCENE_SHUFFLE,88.9,88.9,0
over-the-moon-2020.fountain,MIDPOINT_DROP,88.9,88.7,-0.2
over-the-moon-2020.fountain,CLIMAX_RELOCATE,88.9,88.9,0
over-the-moon-2020.fountain,DIALOGUE_FLATTEN,88.9,87,-1.9
ratatouille-2007.fountain,SCENE_SHUFFLE,98.9,98.9,0
ratatouille-2007.fountain,MIDPOINT_DROP,98.9,98.3,-0.6
ratatouille-2007.fountain,CLIMAX_RELOCATE,98.9,98.9,0
ratatouille-2007.fountain,DIALOGUE_FLATTEN,98.9,88.9,-10
raya-and-the-last-dragon-2021.fountain,SCENE_SHUFFLE,94.7,72.9,-21.8
raya-and-the-last-dragon-2021.fountain,MIDPOINT_DROP,94.7,93.6,-1.1
raya-and-the-last-dragon-2021.fountain,CLIMAX_RELOCATE,94.7,96.3,1.6
raya-and-the-last-dragon-2021.fountain,DIALOGUE_FLATTEN,94.7,89.2,-5.5
sausage-party-2016.fountain,SCENE_SHUFFLE,97.4,97.4,0
sausage-party-2016.fountain,MIDPOINT_DROP,97.4,96.8,-0.6
sausage-party-2016.fountain,CLIMAX_RELOCATE,97.4,97.4,0
sausage-party-2016.fountain,DIALOGUE_FLATTEN,97.4,87.5,-9.9
sing-2016.fountain,SCENE_SHUFFLE,89.5,82.1,-7.4
sing-2016.fountain,MIDPOINT_DROP,89.5,89.1,-0.4
sing-2016.fountain,CLIMAX_RELOCATE,89.5,89.5,0
sing-2016.fountain,DIALOGUE_FLATTEN,89.5,88.5,-1
soul-2020.fountain,SCENE_SHUFFLE,97.7,95.8,-1.9
soul-2020.fountain,MIDPOINT_DROP,97.7,98.1,0.4
soul-2020.fountain,CLIMAX_RELOCATE,97.7,97.7,0
soul-2020.fountain,DIALOGUE_FLATTEN,97.7,88.5,-9.2
spider-man-across-the-spider-verse-2023.fountain,SCENE_SHUFFLE,98.9,94.3,-4.6
spider-man-across-the-spider-verse-2023.fountain,MIDPOINT_DROP,98.9,98.5,-0.4
spider-man-across-the-spider-verse-2023.fountain,CLIMAX_RELOCATE,98.9,98.8,-0.1
spider-man-across-the-spider-verse-2023.fountain,DIALOGUE_FLATTEN,98.9,88.9,-10
spider-man-into-the-spider-verse-2018.fountain,SCENE_SHUFFLE,94.4,90.5,-3.9
spider-man-into-the-spider-verse-2018.fountain,MIDPOINT_DROP,94.4,90,-4.4
spider-man-into-the-spider-verse-2018.fountain,CLIMAX_RELOCATE,94.4,93.6,-0.8
spider-man-into-the-spider-verse-2018.fountain,DIALOGUE_FLATTEN,94.4,88.5,-5.9
spiyder-race-2011-html.fountain,SCENE_SHUFFLE,98.4,97.5,-0.9
spiyder-race-2011-html.fountain,MIDPOINT_DROP,98.4,98.5,0.1
spiyder-race-2011-html.fountain,CLIMAX_RELOCATE,98.4,98.7,0.3
spiyder-race-2011-html.fountain,DIALOGUE_FLATTEN,98.4,88.8,-9.6
teenage-mutant-ninja-turtles-mutant-mayhem-2023.fountain,SCENE_SHUFFLE,98.1,91.8,-6.3
teenage-mutant-ninja-turtles-mutant-mayhem-2023.fountain,MIDPOINT_DROP,98.1,92.4,-5.7
teenage-mutant-ninja-turtles-mutant-mayhem-2023.fountain,CLIMAX_RELOCATE,98.1,98.1,0
teenage-mutant-ninja-turtles-mutant-mayhem-2023.fountain,DIALOGUE_FLATTEN,98.1,87.5,-10.6
the-adventures-of-tintin-2011.fountain,SCENE_SHUFFLE,87.1,69.6,-17.5
the-adventures-of-tintin-2011.fountain,MIDPOINT_DROP,87.1,92.9,5.8
the-adventures-of-tintin-2011.fountain,CLIMAX_RELOCATE,87.1,87.1,0
the-adventures-of-tintin-2011.fountain,DIALOGUE_FLATTEN,87.1,87.1,0
the-boss-baby-family-business-2021.fountain,SCENE_SHUFFLE,91.4,95.7,4.3
the-boss-baby-family-business-2021.fountain,MIDPOINT_DROP,91.4,91.7,0.3
the-boss-baby-family-business-2021.fountain,CLIMAX_RELOCATE,91.4,90.8,-0.6
the-boss-baby-family-business-2021.fountain,DIALOGUE_FLATTEN,91.4,87.3,-4.1
the-good-dinosaur-2015.fountain,SCENE_SHUFFLE,98,97.9,-0.1
