file,sceneCount,wordCount,health,grade,verdict,totalIssues,critical,major,minor
0meet-the-robinsons-full-screenplay.fountain,57,19976,97.5,excellent,RECOMMEND,430,0,0,0
2020-07-17-soul-final-script.fountain,94,22579,97.7,excellent,RECOMMEND,531,0,0,0
9-matched.fountain,112,17272,91.7,excellent,RECOMMEND,754,0,0,0
a-scanner-darkly-matched.fountain,152,27169,84.6,strong,CONSIDER,1253,0,0,0
aladdin-matched.fountain,1,17185,0,troubled,PASS,76,0,0,0
anastasia-matched.fountain,134,21169,87.6,strong,RECOMMEND,1016,0,0,0
antz-matched.fountain,96,17661,94.1,excellent,RECOMMEND,666,0,0,0
beavis-and-butt-head-do-america-matched.fountain,187,17575,89.3,strong,RECOMMEND,1070,0,0,0
big-hero-6-2014.fountain,3,6559,53.3,uneven,PASS,116,0,0,0
boxtrolls-the-matched.fountain,87,26088,97.8,excellent,RECOMMEND,988,0,0,0
brave-2012.fountain,11,4708,87.3,strong,RECOMMEND,164,0,0,0
cars-2-matched.fountain,118,24332,89.2,strong,RECOMMEND,1060,0,0,0
coco-2017.fountain,120,22341,91.8,excellent,RECOMMEND,860,0,0,0
coco-matched.fountain,115,22478,95.1,excellent,RECOMMEND,829,0,0,0
coco-script.fountain,120,22341,91.8,excellent,RECOMMEND,860,0,0,0
coraline-matched.fountain,143,24053,88.1,strong,RECOMMEND,1111,0,0,0
corpse-bride-2005.fountain,66,14155,96,excellent,RECOMMEND,601,0,0,0
darkymind-html.fountain,121,23523,96.9,excellent,RECOMMEND,680,0,0,0
dreamworks-animation-touring-education-resource.fountain,1,15918,0,troubled,PASS,64,0,0,0
elemental-2023.fountain,136,23802,98.7,excellent,RECOMMEND,707,0,0,0
encanto-2021.fountain,72,21606,88.4,strong,RECOMMEND,990,0,0,0
how-to-train-your-dragon-the-hidden-world-2019.fountain,94,23033,98.5,excellent,RECOMMEND,496,0,0,0
inside-out-2015.fountain,387,19651,87.6,strong,RECOMMEND,1167,0,0,0
inside-out-screenplay.fountain,387,19651,87.6,strong,RECOMMEND,1167,0,0,0
isle-of-dogs-2018.fountain,59,29293,94.2,excellent,RECOMMEND,591,0,0,0
kubo-and-the-two-strings-2016.fountain,55,21926,97.5,excellent,RECOMMEND,439,0,0,0
luca-2021.fountain,116,20274,92.6,excellent,RECOMMEND,736,0,0,0
moana.fountain,2,6430,30,troubled,PASS,87,0,0,0
mulan-1998.fountain,86,18204,88.4,strong,RECOMMEND,969,0,0,0
over-the-moon-2020.fountain,130,19883,88.9,strong,RECOMMEND,1050,0,0,0
ratatouille-2007.fountain,127,24276,98.9,excellent,RECOMMEND,660,0,0,0
raya-and-the-last-dragon-2021.fountain,98,18894,94.7,excellent,RECOMMEND,716,0,0,0
sausage-party-2016.fountain,55,22805,97.4,excellent,RECOMMEND,608,0,0,0
sing-2016.fountain,202,23572,89.5,strong,RECOMMEND,926,0,0,0
soul-2020.fountain,94,22579,97.7,excellent,RECOMMEND,531,0,0,0
spider-man-across-the-spider-verse-2023.fountain,129,26196,98.9,excellent,RECOMMEND,724,0,0,0
spider-man-into-the-spider-verse-2018.fountain,188,23978,94.4,excellent,RECOMMEND,812,0,0,0
spiyder-race-2011-html.fountain,120,26590,98.4,excellent,RECOMMEND,814,0,0,0
teenage-mutant-ninja-turtles-mutant-mayhem-2023.fountain,83,19059,98.1,excellent,RECOMMEND,665,0,0,0
the-adventures-of-tintin-2011.fountain,141,21150,87.1,strong,RECOMMEND,888,0,0,0
the-boss-baby-family-business-2021.fountain,52,26403,91.4,excellent,RECOMMEND,825,0,0,0
the-good-dinosaur-2015.fountain,71,14871,98,excellent,RECOMMEND,475,0,0,0
the-incredibles-2004.fountain,77,27146,92,excellent,RECOMMEND,950,0,0,0
the-iron-giant-1999.fountain,139,18630,94.3,excellent,RECOMMEND,638,0,0,0
the-mitchells-vs-the-machines-2021.fountain,112,30397,98.7,excellent,RECOMMEND,730,0,0,0
the-mitchells-vs-the-machines-read-the-screenplay.fountain,112,30397,98.7,excellent,RECOMMEND,730,0,0,0
the-red-turtle-2016.fountain,11,11190,87.3,strong,RECOMMEND,160,0,0,0
the-secret-life-of-pets-2016.fountain,107,16840,96.9,excellent,RECOMMEND,606,0,0,0
the-wild-robot-2024.fountain,145,17030,89.1,strong,RECOMMEND,776,0,0,0
toy-story-4-2019.fountain,138,20679,89.2,strong,RECOMMEND,908,0,0,0
up-2009.fountain,187,16612,86.1,strong,RECOMMEND,794,0,0,0
zootopia-2016.fountain,105,19724,98.5,excellent,RECOMMEND,597,0,0,0
