file,origin,sceneCount,wordCount,health,ruleChannelPoints,QL,REV,AGENCY,TRUTH,qlRaised,qlUnresolvedRate,revCount,act3Initiative,act3Scenes,truthFacts,truthContradictions
chain-of-custody.fountain,corpus,13,830,72.3,16.9,0,12,10,0,1,0,0,0,4,14,0
close-quarters.fountain,corpus,13,845,69.9,19.3,0,12,10,0,1,0,0,0,4,15,0
code-blue.fountain,corpus,14,958,75.4,14.6,0,12,5,0,2,0.5,0,1,4,17,0
counter-offer.fountain,corpus,10,1522,76,10,0,12,3.333,0,4,0,0,1,3,18,0
dead-frequency.fountain,corpus,12,1831,78.3,10,0,12,0,0,3,0.3333333333333333,0,3,3,20,0
high-voltage.fountain,corpus,13,940,77.4,11.8,0,12,10,0,0,,0,0,4,17,0
mise.fountain,corpus,12,922,72.8,15.5,0,12,10,0,1,0,0,0,3,22,0
off-season.fountain,corpus,9,756,71.6,12.8,0,12,10,0,0,,0,0,3,16,0
quiet-season.fountain,corpus,10,679,71.3,14.7,0,12,3.333,0,7,0.42857142857142855,0,1,3,17,0
red-line.fountain,corpus,14,988,71.1,18.9,0,12,10,0,1,0,0,0,4,15,0
room-12.fountain,corpus,10,434,27.3,58.7,0,12,10,0,0,,0,0,3,17,0
same-page.fountain,corpus,11,814,75.1,12.2,0,12,10,0,0,,0,0,3,33,0
soft-launch.fountain,corpus,12,972,76.3,12,0,12,10,0,1,0,0,0,3,19,0
the-defense-rests.fountain,corpus,12,963,76.1,12.2,0,12,3.333,0,4,0.5,0,1,3,24,0
the-detour.fountain,corpus,11,759,72.4,14.9,0,12,3.333,0,3,0.3333333333333333,0,1,3,22,0
the-key-under-the-mat.fountain,corpus,11,903,72.9,14.4,0,12,10,0,6,0.3333333333333333,0,0,3,19,0
two-lane.fountain,corpus,13,1011,74,15.2,0,12,10,0,4,0,0,0,4,26,0
undertow.fountain,corpus,12,889,76.5,11.8,0,12,3.333,0,0,,0,1,3,17,0
calibration/low-tide.fountain,calibration:strong,10,314,53.9,32.1,0,12,10,0,1,1,0,0,3,15,0
calibration/nine-minutes.fountain,calibration:strong,10,335,62.2,23.8,0,12,10,0,0,,0,0,3,13,0
calibration/the-long-game.fountain,calibration:strong,10,337,67.6,18.4,0,12,10,0,0,,0,0,3,13,0
calibration/second-wind.fountain,calibration:strong,10,322,57.1,28.9,0,12,10,0,0,,0,0,3,13,0
calibration/sunlight-clause.fountain,calibration:strong,10,326,60.3,25.7,0,12,10,0,1,0,0,0,3,13,0
calibration/reasonable-doubt.fountain,calibration:competent,10,311,50.9,35.1,0,12,10,0,0,,0,0,3,15,0
calibration/thanksgiving-maybe.fountain,calibration:competent,9,300,65.9,18.5,0,12,10,0,0,,0,0,3,12,0
calibration/the-dead-drop.fountain,calibration:competent,10,298,37.1,48.9,0,12,10,0,0,,0,0,3,14,0
calibration/encore.fountain,calibration:competent,10,290,45.3,40.7,0,12,10,0,0,,0,0,3,14,0
calibration/zero-day.fountain,calibration:competent,10,290,56.5,29.5,0,12,3.333,0,1,1,0,1,3,14,0
calibration/yard-signs.fountain,calibration:weak,10,297,38.1,47.9,0,12,10,0,0,,0,0,3,18,0
calibration/merge.fountain,calibration:weak,10,291,16.3,69.7,0,12,10,0,0,,0,0,3,17,0
calibration/splitting-the-house.fountain,calibration:weak,10,294,42.9,43.1,0,12,10,0,1,1,0,0,3,16,0
calibration/the-visit.fountain,calibration:weak,10,289,48.4,37.6,0,12,10,0,0,,0,0,3,18,0
calibration/the-corner-booth.fountain,calibration:weak,10,269,47.8,38.2,0,12,10,0,0,,0,0,3,18,0
calibration/the-grift.fountain,calibration:troubled,10,324,13.3,72.7,0,12,10,0,1,0,0,0,3,18,0
calibration/adrift.fountain,calibration:troubled,10,288,27.8,58.2,0,12,10,0,0,,0,0,3,18,0
calibration/lockdown.fountain,calibration:troubled,9,259,46.8,37.6,0,12,10,0,0,,0,0,3,16,0
calibration/whiteout.fountain,calibration:troubled,9,256,37.8,46.6,0,12,10,0,0,,0,0,3,16,0
calibration/firebreak.fountain,calibration:troubled,9,262,36.6,47.8,0,12,10,0,0,,0,0,3,16,0
