config,ruleZero,signals,degradation,pairs,auc,ciLo,ciHi
baseline,false,"",SCENE_SHUFFLE,38,0.5000,0.3421,0.6447
baseline,false,"",MIDPOINT_DROP,38,0.2105,0.0789,0.3421
baseline,false,"",CLIMAX_RELOCATE,38,0.5000,0.3421,0.6579
baseline,false,"",DIALOGUE_FLATTEN,38,1.0000,1.0000,1.0000
baseline,false,"",POOLED,152,0.5526,0.4737,0.6283
QL,false,"QL",SCENE_SHUFFLE,38,0.5000,0.3421,0.6447
QL,false,"QL",MIDPOINT_DROP,38,0.2105,0.0789,0.3421
QL,false,"QL",CLIMAX_RELOCATE,38,0.5000,0.3421,0.6579
QL,false,"QL",DIALOGUE_FLATTEN,38,1.0000,1.0000,1.0000
QL,false,"QL",POOLED,152,0.5526,0.4737,0.6283
REV,false,"REV",SCENE_SHUFFLE,38,0.5000,0.3421,0.6447
REV,false,"REV",MIDPOINT_DROP,38,0.2105,0.0789,0.3421
REV,false,"REV",CLIMAX_RELOCATE,38,0.5000,0.3421,0.6579
REV,false,"REV",DIALOGUE_FLATTEN,38,1.0000,1.0000,1.0000
REV,false,"REV",POOLED,152,0.5526,0.4737,0.6283
QL+REV,false,"QL REV",SCENE_SHUFFLE,38,0.5000,0.3421,0.6447
QL+REV,false,"QL REV",MIDPOINT_DROP,38,0.2105,0.0789,0.3421
QL+REV,false,"QL REV",CLIMAX_RELOCATE,38,0.5000,0.3421,0.6579
QL+REV,false,"QL REV",DIALOGUE_FLATTEN,38,1.0000,1.0000,1.0000
QL+REV,false,"QL REV",POOLED,152,0.5526,0.4737,0.6283
AGENCY,false,"AGENCY",SCENE_SHUFFLE,38,0.4737,0.3158,0.6184
AGENCY,false,"AGENCY",MIDPOINT_DROP,38,0.1842,0.0526,0.3158
AGENCY,false,"AGENCY",CLIMAX_RELOCATE,38,0.5263,0.3684,0.6711
AGENCY,false,"AGENCY",DIALOGUE_FLATTEN,38,1.0000,1.0000,1.0000
AGENCY,false,"AGENCY",POOLED,152,0.5461,0.4671,0.6217
QL+AGENCY,false,"QL AGENCY",SCENE_SHUFFLE,38,0.4737,0.3158,0.6184
QL+AGENCY,false,"QL AGENCY",MIDPOINT_DROP,38,0.1842,0.0526,0.3158
QL+AGENCY,false,"QL AGENCY",CLIMAX_RELOCATE,38,0.5263,0.3684,0.6711
QL+AGENCY,false,"QL AGENCY",DIALOGUE_FLATTEN,38,1.0000,1.0000,1.0000
QL+AGENCY,false,"QL AGENCY",POOLED,152,0.5461,0.4671,0.6217
REV+AGENCY,false,"REV AGENCY",SCENE_SHUFFLE,38,0.4737,0.3158,0.6184
REV+AGENCY,false,"REV AGENCY",MIDPOINT_DROP,38,0.1842,0.0526,0.3158
REV+AGENCY,false,"REV AGENCY",CLIMAX_RELOCATE,38,0.5263,0.3684,0.6711
REV+AGENCY,false,"REV AGENCY",DIALOGUE_FLATTEN,38,0.9737,0.9342,1.0000
REV+AGENCY,false,"REV AGENCY",POOLED,152,0.5395,0.4638,0.6151
QL+REV+AGENCY,false,"QL REV AGENCY",SCENE_SHUFFLE,38,0.4737,0.3158,0.6184
QL+REV+AGENCY,false,"QL REV AGENCY",MIDPOINT_DROP,38,0.1842,0.0526,0.3158
QL+REV+AGENCY,false,"QL REV AGENCY",CLIMAX_RELOCATE,38,0.5263,0.3684,0.6711
QL+REV+AGENCY,false,"QL REV AGENCY",DIALOGUE_FLATTEN,38,0.9737,0.9342,1.0000
QL+REV+AGENCY,false,"QL REV AGENCY",POOLED,152,0.5395,0.4638,0.6151
TRUTH,false,"TRUTH",SCENE_SHUFFLE,38,0.5263,0.3684,0.6711
TRUTH,false,"TRUTH",MIDPOINT_DROP,38,0.2105,0.0789,0.3421
