config,ruleZero,signals,degradation,pairs,auc,ciLo,ciHi
baseline,false,"",SCENE_SHUFFLE,18,0.3056,0.1111,0.5278
baseline,false,"",MIDPOINT_DROP,18,0.4444,0.2222,0.6667
baseline,false,"",CLIMAX_RELOCATE,18,0.4167,0.1944,0.6667
baseline,false,"",DIALOGUE_FLATTEN,18,1.0000,1.0000,1.0000
baseline,false,"",POOLED,72,0.5417,0.4236,0.6597
QL,false,"QL",SCENE_SHUFFLE,18,0.3056,0.1111,0.5278
QL,false,"QL",MIDPOINT_DROP,18,0.4444,0.2222,0.6667
QL,false,"QL",CLIMAX_RELOCATE,18,0.4167,0.1944,0.6667
QL,false,"QL",DIALOGUE_FLATTEN,18,1.0000,1.0000,1.0000
QL,false,"QL",POOLED,72,0.5417,0.4236,0.6597
REV,false,"REV",SCENE_SHUFFLE,18,0.3056,0.1111,0.5278
REV,false,"REV",MIDPOINT_DROP,18,0.4444,0.2222,0.6667
REV,false,"REV",CLIMAX_RELOCATE,18,0.4167,0.1944,0.6667
REV,false,"REV",DIALOGUE_FLATTEN,18,1.0000,1.0000,1.0000
REV,false,"REV",POOLED,72,0.5417,0.4236,0.6597
QL+REV,false,"QL REV",SCENE_SHUFFLE,18,0.3056,0.1111,0.5278
QL+REV,false,"QL REV",MIDPOINT_DROP,18,0.4444,0.2222,0.6667
QL+REV,false,"QL REV",CLIMAX_RELOCATE,18,0.4167,0.1944,0.6667
QL+REV,false,"QL REV",DIALOGUE_FLATTEN,18,1.0000,1.0000,1.0000
QL+REV,false,"QL REV",POOLED,72,0.5417,0.4236,0.6597
AGENCY,false,"AGENCY",SCENE_SHUFFLE,18,0.2500,0.0556,0.4444
AGENCY,false,"AGENCY",MIDPOINT_DROP,18,0.3889,0.1667,0.6111
AGENCY,false,"AGENCY",CLIMAX_RELOCATE,18,0.4722,0.2778,0.6944
AGENCY,false,"AGENCY",DIALOGUE_FLATTEN,18,1.0000,1.0000,1.0000
AGENCY,false,"AGENCY",POOLED,72,0.5278,0.4097,0.6389
QL+AGENCY,false,"QL AGENCY",SCENE_SHUFFLE,18,0.2500,0.0556,0.4444
QL+AGENCY,false,"QL AGENCY",MIDPOINT_DROP,18,0.3889,0.1667,0.6111
QL+AGENCY,false,"QL AGENCY",CLIMAX_RELOCATE,18,0.4722,0.2778,0.6944
QL+AGENCY,false,"QL AGENCY",DIALOGUE_FLATTEN,18,1.0000,1.0000,1.0000
QL+AGENCY,false,"QL AGENCY",POOLED,72,0.5278,0.4097,0.6389
REV+AGENCY,false,"REV AGENCY",SCENE_SHUFFLE,18,0.2500,0.0556,0.4444
REV+AGENCY,false,"REV AGENCY",MIDPOINT_DROP,18,0.3889,0.1667,0.6111
REV+AGENCY,false,"REV AGENCY",CLIMAX_RELOCATE,18,0.4722,0.2778,0.6944
REV+AGENCY,false,"REV AGENCY",DIALOGUE_FLATTEN,18,1.0000,1.0000,1.0000
REV+AGENCY,false,"REV AGENCY",POOLED,72,0.5278,0.4097,0.6389
QL+REV+AGENCY,false,"QL REV AGENCY",SCENE_SHUFFLE,18,0.2500,0.0556,0.4444
QL+REV+AGENCY,false,"QL REV AGENCY",MIDPOINT_DROP,18,0.3889,0.1667,0.6111
QL+REV+AGENCY,false,"QL REV AGENCY",CLIMAX_RELOCATE,18,0.4722,0.2778,0.6944
QL+REV+AGENCY,false,"QL REV AGENCY",DIALOGUE_FLATTEN,18,1.0000,1.0000,1.0000
QL+REV+AGENCY,false,"QL REV AGENCY",POOLED,72,0.5278,0.4097,0.6389
TRUTH,false,"TRUTH",SCENE_SHUFFLE,18,0.3611,0.1667,0.5833
TRUTH,false,"TRUTH",MIDPOINT_DROP,18,0.4444,0.2222,0.6667
TRUTH,false,"TRUTH",CLIMAX_RELOCATE,18,0.4167,0.1944,0.6667
TRUTH,false,"TRUTH",DIALOGUE_FLATTEN,18,1.0000,1.0000,1.0000
TRUTH,false,"TRUTH",POOLED,72,0.5556,0.4375,0.6736
QL+TRUTH,false,"QL TRUTH",SCENE_SHUFFLE,18,0.3611,0.1667,0.5833
QL+TRUTH,false,"QL TRUTH",MIDPOINT_DROP,18,0.4444,0.2222,0.6667
QL+TRUTH,false,"QL TRUTH",CLIMAX_RELOCATE,18,0.4167,0.1944,0.6667
QL+TRUTH,false,"QL TRUTH",DIALOGUE_FLATTEN,18,1.0000,1.0000,1.0000
QL+TRUTH,false,"QL TRUTH",POOLED,72,0.5556,0.4375,0.6736
REV+TRUTH,false,"REV TRUTH",SCENE_SHUFFLE,18,0.3611,0.1667,0.5833
REV+TRUTH,false,"REV TRUTH",MIDPOINT_DROP,18,0.4444,0.2222,0.6667
REV+TRUTH,false,"REV TRUTH",CLIMAX_RELOCATE,18,0.4167,0.1944,0.6667
REV+TRUTH,false,"REV TRUTH",DIALOGUE_FLATTEN,18,1.0000,1.0000,1.0000
REV+TRUTH,false,"REV TRUTH",POOLED,72,0.5556,0.4375,0.6736
QL+REV+TRUTH,false,"QL REV TRUTH",SCENE_SHUFFLE,18,0.3611,0.1667,0.5833
QL+REV+TRUTH,false,"QL REV TRUTH",MIDPOINT_DROP,18,0.4444,0.2222,0.6667
QL+REV+TRUTH,false,"QL REV TRUTH",CLIMAX_RELOCATE,18,0.4167,0.1944,0.6667
QL+REV+TRUTH,false,"QL REV TRUTH",DIALOGUE_FLATTEN,18,1.0000,1.0000,1.0000
QL+REV+TRUTH,false,"QL REV TRUTH",POOLED,72,0.5556,0.4375,0.6736
AGENCY+TRUTH,false,"AGENCY TRUTH",SCENE_SHUFFLE,18,0.3056,0.1111,0.5278
AGENCY+TRUTH,false,"AGENCY TRUTH",MIDPOINT_DROP,18,0.3889,0.1667,0.6111
AGENCY+TRUTH,false,"AGENCY TRUTH",CLIMAX_RELOCATE,18,0.4722,0.2778,0.6944
AGENCY+TRUTH,false,"AGENCY TRUTH",DIALOGUE_FLATTEN,18,1.0000,1.0000,1.0000
AGENCY+TRUTH,false,"AGENCY TRUTH",POOLED,72,0.5417,0.4236,0.6528
QL+AGENCY+TRUTH,false,"QL AGENCY TRUTH",SCENE_SHUFFLE,18,0.3056,0.1111,0.5278
QL+AGENCY+TRUTH,false,"QL AGENCY TRUTH",MIDPOINT_DROP,18,0.3889,0.1667,0.6111
QL+AGENCY+TRUTH,false,"QL AGENCY TRUTH",CLIMAX_RELOCATE,18,0.4722,0.2778,0.6944
QL+AGENCY+TRUTH,false,"QL AGENCY TRUTH",DIALOGUE_FLATTEN,18,1.0000,1.0000,1.0000
QL+AGENCY+TRUTH,false,"QL AGENCY TRUTH",POOLED,72,0.5417,0.4236,0.6528
REV+AGENCY+TRUTH,false,"REV AGENCY TRUTH",SCENE_SHUFFLE,18,0.3056,0.1111,0.5278
REV+AGENCY+TRUTH,false,"REV AGENCY TRUTH",MIDPOINT_DROP,18,0.3889,0.1667,0.6111
REV+AGENCY+TRUTH,false,"REV AGENCY TRUTH",CLIMAX_RELOCATE,18,0.4722,0.2778,0.6944
REV+AGENCY+TRUTH,false,"REV AGENCY TRUTH",DIALOGUE_FLATTEN,18,1.0000,1.0000,1.0000
REV+AGENCY+TRUTH,false,"REV AGENCY TRUTH",POOLED,72,0.5417,0.4236,0.6528
QL+REV+AGENCY+TRUTH,false,"QL REV AGENCY TRUTH",SCENE_SHUFFLE,18,0.3056,0.1111,0.5278
